[INIT] Bridge connectat. Preu: 83.0005 | Caixa: 86411.8
[2026-03-01 21:40:11] STATUS -> Preu: 83.0005 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:40:42] STATUS -> Preu: 82.963 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:41:13] STATUS -> Preu: 83.0085 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:41:44] STATUS -> Preu: 82.8811 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:42:14] STATUS -> Preu: 82.807 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:42:45] STATUS -> Preu: 82.7939 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:43:16] STATUS -> Preu: 82.8422 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:43:47] STATUS -> Preu: 82.8422 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:44:18] STATUS -> Preu: 82.8505 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:44:49] STATUS -> Preu: 82.905 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:45:20] STATUS -> Preu: 82.9415 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:45:51] STATUS -> Preu: 82.9415 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:46:21] STATUS -> Preu: 82.9245 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:46:52] STATUS -> Preu: 82.9245 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:47:23] STATUS -> Preu: 82.8607 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:47:54] STATUS -> Preu: 82.8607 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:48:25] STATUS -> Preu: 82.8985 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:48:56] STATUS -> Preu: 82.9339 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:49:27] STATUS -> Preu: 82.894 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:49:57] STATUS -> Preu: 82.9595 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:50:28] STATUS -> Preu: 82.9337 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:50:59] STATUS -> Preu: 82.9337 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:51:30] STATUS -> Preu: 82.9337 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:52:01] STATUS -> Preu: 82.9337 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:52:32] STATUS -> Preu: 82.9337 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:53:03] STATUS -> Preu: 82.9337 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:53:34] STATUS -> Preu: 82.892 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:54:04] STATUS -> Preu: 82.8962 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:54:35] STATUS -> Preu: 82.8962 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:55:06] STATUS -> Preu: 82.94 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:55:37] STATUS -> Preu: 82.9818 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:56:08] STATUS -> Preu: 82.9311 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:56:39] STATUS -> Preu: 82.9311 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:57:10] STATUS -> Preu: 82.9795 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:57:40] STATUS -> Preu: 82.9795 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:58:11] STATUS -> Preu: 82.98 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:58:42] STATUS -> Preu: 83.0218 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:59:13] STATUS -> Preu: 83.0218 | Caixa: 86411.8 | SOL: 0
[2026-03-01 21:59:44] STATUS -> Preu: 82.9545 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:00:15] STATUS -> Preu: 82.964 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:00:46] STATUS -> Preu: 82.8845 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:01:17] STATUS -> Preu: 82.9535 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:01:47] STATUS -> Preu: 82.914 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:02:18] STATUS -> Preu: 82.8306 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:02:49] STATUS -> Preu: 82.8897 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:03:20] STATUS -> Preu: 82.9204 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:03:51] STATUS -> Preu: 83.0001 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:04:22] STATUS -> Preu: 83.035 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:04:53] STATUS -> Preu: 83.035 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:05:24] STATUS -> Preu: 82.9755 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:05:54] STATUS -> Preu: 82.935 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:06:25] STATUS -> Preu: 82.8936 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:06:56] STATUS -> Preu: 82.8936 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:07:27] STATUS -> Preu: 82.9364 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:07:58] STATUS -> Preu: 82.8836 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:08:29] STATUS -> Preu: 82.8815 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:09:00] STATUS -> Preu: 82.8247 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:09:30] STATUS -> Preu: 82.86 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:10:01] STATUS -> Preu: 82.7925 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:10:32] STATUS -> Preu: 82.843 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:11:03] STATUS -> Preu: 82.8374 | Caixa: 86411.8 | SOL: 0
[2026-03-01 22:11:34] STATUS -> Preu: 82.8374 | Caixa: 86411.8 | SOL: 0
