date,equity
2026-04-21,149769.47
2026-04-22,151486.23
2026-04-23,151700.92
2026-04-24,152070.47
2026-04-25,152406.25
2026-04-28,152713.93
2026-04-29,152732.07
2026-04-30,151514.53
2026-05-01,151850.14
2026-05-02,153719.07
2026-05-05,153719.07
2026-05-06,158379.51
2026-05-07,160140.87
2026-05-08,161317.93
2026-05-09,164614.74
2026-05-12,165311.35
2026-05-13,165803.57
2026-05-14,161652.53
2026-05-15,162458.51
2026-05-16,159190.93
2026-05-19,153994.46
2026-05-20,153320.21
2026-05-21,157067.49
2026-05-22,158162.07
2026-05-23,154770.27
2026-05-27,155650.62
2026-05-28,153169.29
2026-05-29,153618.84
2026-05-30,154875.07
2026-06-02,152323.16
2026-06-03,143887.3
2026-06-04,132166.4
2026-06-05,132332.58
2026-06-06,123510.85
2026-06-09,127795.13
2026-06-10,126112.53
2026-06-11,125943.46
2026-06-12,129751.61
2026-06-13,131192.47
2026-06-16,143812.26
2026-06-17,143566.11
2026-06-18,140714.58
2026-06-19,136138.13
2026-06-23,141542.63
2026-06-24,139245.82
2026-06-25,135044.7
2026-06-26,134854.1
2026-06-27,142162.27
2026-06-30,143527.85
2026-07-01,143524.59
2026-07-02,146108.03
2026-07-03,147320.77
2026-07-07,154559.08
2026-07-08,157196.33
2026-07-09,160409.17
2026-07-10,163479.97
2026-07-11,161860.68
2026-07-14,160469.18
2026-07-15,164883.14
2026-07-16,163610.62
2026-07-17,161409.54
2026-07-18,161832.58
2026-07-21,167078.56
2026-07-22,168073.73
2026-07-23,164598.38
2026-07-24,163931.54
2026-07-25,162118.1
2026-07-28,162402.54
2026-07-29,163249.1
2026-07-30,164083.21
2026-07-31,165400.93
2026-08-01,163984.15
2026-08-04,166200.56
2026-08-05,166451.31
2026-08-06,167162.75
2026-08-07,165039.22
2026-08-08,167935.79
2026-08-11,169413.97
2026-08-12,171045.53
2026-08-13,170147.21
2026-08-14,172153.66
2026-08-15,171078.23
2026-08-18,171963.88
2026-08-19,173635.58
2026-08-20,175267.01
2026-08-21,175267.01
2026-08-22,175267.01
2026-08-25,175267.01
2026-08-26,175267.01
2026-08-27,175267.01
2026-08-28,175267.01
2026-08-29,175267.01
2026-09-01,175267.01
2026-09-02,175098.28
