[INIT] Bridge connectat. Preu: 85.5732 | Caixa: 100000
[2026-02-18 09:35:16] STATUS -> Preu: 85.5732 | Caixa: 100000 | SOL: 0
[2026-02-18 09:35:47] STATUS -> Preu: 85.5732 | Caixa: 100000 | SOL: 0
[2026-02-18 09:36:18] STATUS -> Preu: 85.6128 | Caixa: 100000 | SOL: 0
[2026-02-18 09:36:49] STATUS -> Preu: 85.6128 | Caixa: 100000 | SOL: 0
[2026-02-18 09:37:20] STATUS -> Preu: 85.6128 | Caixa: 100000 | SOL: 0
[2026-02-18 09:37:51] STATUS -> Preu: 85.585 | Caixa: 100000 | SOL: 0
[2026-02-18 09:38:21] STATUS -> Preu: 85.585 | Caixa: 100000 | SOL: 0
[2026-02-18 09:38:52] STATUS -> Preu: 85.585 | Caixa: 100000 | SOL: 0
[2026-02-18 09:39:23] STATUS -> Preu: 85.585 | Caixa: 100000 | SOL: 0
[2026-02-18 09:39:54] STATUS -> Preu: 85.585 | Caixa: 100000 | SOL: 0
[2026-02-18 09:40:25] STATUS -> Preu: 85.585 | Caixa: 100000 | SOL: 0
[2026-02-18 09:40:56] STATUS -> Preu: 85.5303 | Caixa: 100000 | SOL: 0
[2026-02-18 09:41:26] STATUS -> Preu: 85.5596 | Caixa: 100000 | SOL: 0
[2026-02-18 09:41:57] STATUS -> Preu: 85.5596 | Caixa: 100000 | SOL: 0
[2026-02-18 09:42:28] STATUS -> Preu: 85.5596 | Caixa: 100000 | SOL: 0
[2026-02-18 09:42:59] STATUS -> Preu: 85.5596 | Caixa: 100000 | SOL: 0
[2026-02-18 09:43:30] STATUS -> Preu: 85.5596 | Caixa: 100000 | SOL: 0
[2026-02-18 09:44:01] STATUS -> Preu: 85.5596 | Caixa: 100000 | SOL: 0
[2026-02-18 09:44:32] STATUS -> Preu: 85.5596 | Caixa: 100000 | SOL: 0
[2026-02-18 09:45:02] STATUS -> Preu: 85.531 | Caixa: 100000 | SOL: 0
[2026-02-18 09:45:33] STATUS -> Preu: 85.531 | Caixa: 100000 | SOL: 0
[2026-02-18 09:46:04] STATUS -> Preu: 85.531 | Caixa: 100000 | SOL: 0
[2026-02-18 09:46:35] STATUS -> Preu: 85.531 | Caixa: 100000 | SOL: 0
[2026-02-18 09:47:06] STATUS -> Preu: 85.48 | Caixa: 100000 | SOL: 0
[2026-02-18 09:47:37] STATUS -> Preu: 85.48 | Caixa: 100000 | SOL: 0
[2026-02-18 09:48:07] STATUS -> Preu: 85.515 | Caixa: 100000 | SOL: 0
[2026-02-18 09:48:38] STATUS -> Preu: 85.515 | Caixa: 100000 | SOL: 0
[2026-02-18 09:49:09] STATUS -> Preu: 85.4855 | Caixa: 100000 | SOL: 0
[2026-02-18 09:49:40] STATUS -> Preu: 85.4305 | Caixa: 100000 | SOL: 0
[2026-02-18 09:50:11] STATUS -> Preu: 85.3834 | Caixa: 100000 | SOL: 0
[2026-02-18 09:50:42] STATUS -> Preu: 85.3834 | Caixa: 100000 | SOL: 0
[2026-02-18 09:51:12] STATUS -> Preu: 85.3834 | Caixa: 100000 | SOL: 0
[2026-02-18 09:51:43] STATUS -> Preu: 85.3834 | Caixa: 100000 | SOL: 0
[2026-02-18 09:52:14] STATUS -> Preu: 85.4221 | Caixa: 100000 | SOL: 0
[2026-02-18 09:52:45] STATUS -> Preu: 85.3977 | Caixa: 100000 | SOL: 0
[2026-02-18 09:53:16] STATUS -> Preu: 85.4278 | Caixa: 100000 | SOL: 0
[2026-02-18 09:53:47] STATUS -> Preu: 85.4059 | Caixa: 100000 | SOL: 0
[2026-02-18 09:54:17] STATUS -> Preu: 85.2999 | Caixa: 100000 | SOL: 0
[2026-02-18 09:54:48] STATUS -> Preu: 85.2999 | Caixa: 100000 | SOL: 0
[2026-02-18 09:55:19] STATUS -> Preu: 85.38 | Caixa: 100000 | SOL: 0
[2026-02-18 09:55:50] STATUS -> Preu: 85.38 | Caixa: 100000 | SOL: 0
[2026-02-18 09:56:21] STATUS -> Preu: 85.3394 | Caixa: 100000 | SOL: 0
[2026-02-18 09:56:52] STATUS -> Preu: 85.3394 | Caixa: 100000 | SOL: 0
[2026-02-18 09:57:23] STATUS -> Preu: 85.3394 | Caixa: 100000 | SOL: 0
[2026-02-18 09:57:53] STATUS -> Preu: 85.3394 | Caixa: 100000 | SOL: 0
[2026-02-18 09:58:24] STATUS -> Preu: 85.2989 | Caixa: 100000 | SOL: 0
[2026-02-18 09:58:55] STATUS -> Preu: 85.2989 | Caixa: 100000 | SOL: 0
[2026-02-18 09:59:26] STATUS -> Preu: 85.2989 | Caixa: 100000 | SOL: 0
[2026-02-18 09:59:57] STATUS -> Preu: 85.2989 | Caixa: 100000 | SOL: 0
[2026-02-18 10:00:28] STATUS -> Preu: 85.34 | Caixa: 100000 | SOL: 0
[2026-02-18 10:00:59] STATUS -> Preu: 85.34 | Caixa: 100000 | SOL: 0
[2026-02-18 10:01:29] STATUS -> Preu: 85.288 | Caixa: 100000 | SOL: 0
[2026-02-18 10:02:00] STATUS -> Preu: 85.2189 | Caixa: 100000 | SOL: 0
[2026-02-18 10:02:31] STATUS -> Preu: 85.2189 | Caixa: 100000 | SOL: 0
[2026-02-18 10:03:02] STATUS -> Preu: 85.1585 | Caixa: 100000 | SOL: 0
[2026-02-18 10:03:33] STATUS -> Preu: 85.1553 | Caixa: 100000 | SOL: 0
[2026-02-18 10:04:04] STATUS -> Preu: 85.1553 | Caixa: 100000 | SOL: 0
[2026-02-18 10:04:35] STATUS -> Preu: 85.1075 | Caixa: 100000 | SOL: 0
[2026-02-18 10:05:05] STATUS -> Preu: 84.9894 | Caixa: 100000 | SOL: 0
[2026-02-18 10:05:36] STATUS -> Preu: 85.066 | Caixa: 100000 | SOL: 0
[2026-02-18 10:06:07] STATUS -> Preu: 84.9244 | Caixa: 100000 | SOL: 0
[2026-02-18 10:06:38] STATUS -> Preu: 85.0147 | Caixa: 100000 | SOL: 0
[2026-02-18 10:07:09] STATUS -> Preu: 84.8968 | Caixa: 100000 | SOL: 0
[2026-02-18 10:07:40] STATUS -> Preu: 84.9546 | Caixa: 100000 | SOL: 0
[2026-02-18 10:08:11] STATUS -> Preu: 84.9546 | Caixa: 100000 | SOL: 0
[2026-02-18 10:08:42] STATUS -> Preu: 84.9546 | Caixa: 100000 | SOL: 0
[2026-02-18 10:09:12] STATUS -> Preu: 84.9546 | Caixa: 100000 | SOL: 0
[2026-02-18 10:09:43] STATUS -> Preu: 85.011 | Caixa: 100000 | SOL: 0
[2026-02-18 10:10:15] STATUS -> Preu: 85.0425 | Caixa: 100000 | SOL: 0
[2026-02-18 10:10:46] STATUS -> Preu: 85.0934 | Caixa: 100000 | SOL: 0
[2026-02-18 10:11:17] STATUS -> Preu: 85.0934 | Caixa: 100000 | SOL: 0
[2026-02-18 10:11:48] STATUS -> Preu: 85.0934 | Caixa: 100000 | SOL: 0
[2026-02-18 10:12:18] STATUS -> Preu: 85.0934 | Caixa: 100000 | SOL: 0
[2026-02-18 10:12:49] STATUS -> Preu: 85.0934 | Caixa: 100000 | SOL: 0
[2026-02-18 10:13:20] STATUS -> Preu: 85.1298 | Caixa: 100000 | SOL: 0
[2026-02-18 10:13:51] STATUS -> Preu: 85.12 | Caixa: 100000 | SOL: 0
[2026-02-18 10:14:22] STATUS -> Preu: 85.12 | Caixa: 100000 | SOL: 0
[2026-02-18 10:14:53] STATUS -> Preu: 85.12 | Caixa: 100000 | SOL: 0
[2026-02-18 10:15:23] STATUS -> Preu: 85.12 | Caixa: 100000 | SOL: 0
[2026-02-18 10:15:54] STATUS -> Preu: 85.12 | Caixa: 100000 | SOL: 0
[2026-02-18 10:16:25] STATUS -> Preu: 85.0836 | Caixa: 100000 | SOL: 0
[2026-02-18 10:16:56] STATUS -> Preu: 85.0445 | Caixa: 100000 | SOL: 0
[2026-02-18 10:17:27] STATUS -> Preu: 85.0445 | Caixa: 100000 | SOL: 0
[2026-02-18 10:17:58] STATUS -> Preu: 85.0445 | Caixa: 100000 | SOL: 0
[2026-02-18 10:18:29] STATUS -> Preu: 85.0445 | Caixa: 100000 | SOL: 0
[2026-02-18 10:18:59] STATUS -> Preu: 85.0445 | Caixa: 100000 | SOL: 0
[2026-02-18 10:19:30] STATUS -> Preu: 85.0445 | Caixa: 100000 | SOL: 0
[2026-02-18 10:20:01] STATUS -> Preu: 85.0262 | Caixa: 100000 | SOL: 0
[2026-02-18 10:20:32] STATUS -> Preu: 85.0262 | Caixa: 100000 | SOL: 0
[2026-02-18 10:21:03] STATUS -> Preu: 85.0262 | Caixa: 100000 | SOL: 0
[2026-02-18 10:21:34] STATUS -> Preu: 85.0262 | Caixa: 100000 | SOL: 0
[2026-02-18 10:22:05] STATUS -> Preu: 85.0262 | Caixa: 100000 | SOL: 0
[2026-02-18 10:22:36] STATUS -> Preu: 85.0262 | Caixa: 100000 | SOL: 0
[2026-02-18 10:23:06] STATUS -> Preu: 85.0262 | Caixa: 100000 | SOL: 0
[2026-02-18 10:23:37] STATUS -> Preu: 85.0444 | Caixa: 100000 | SOL: 0
[2026-02-18 10:24:08] STATUS -> Preu: 85.0444 | Caixa: 100000 | SOL: 0
[2026-02-18 10:24:39] STATUS -> Preu: 84.9842 | Caixa: 100000 | SOL: 0
[2026-02-18 10:25:10] STATUS -> Preu: 84.9842 | Caixa: 100000 | SOL: 0
[2026-02-18 10:25:41] STATUS -> Preu: 84.9549 | Caixa: 100000 | SOL: 0
[2026-02-18 10:26:12] STATUS -> Preu: 84.9549 | Caixa: 100000 | SOL: 0
[2026-02-18 10:26:43] STATUS -> Preu: 84.9549 | Caixa: 100000 | SOL: 0
[2026-02-18 10:27:13] STATUS -> Preu: 84.9995 | Caixa: 100000 | SOL: 0
[2026-02-18 10:27:44] STATUS -> Preu: 84.9995 | Caixa: 100000 | SOL: 0
[2026-02-18 10:28:15] STATUS -> Preu: 84.9995 | Caixa: 100000 | SOL: 0
[2026-02-18 10:28:46] STATUS -> Preu: 85.0232 | Caixa: 100000 | SOL: 0
[2026-02-18 10:29:17] STATUS -> Preu: 85.025 | Caixa: 100000 | SOL: 0
[2026-02-18 10:29:48] STATUS -> Preu: 85.025 | Caixa: 100000 | SOL: 0
[2026-02-18 10:30:18] STATUS -> Preu: 85.025 | Caixa: 100000 | SOL: 0
[2026-02-18 10:30:49] STATUS -> Preu: 84.954 | Caixa: 100000 | SOL: 0
[2026-02-18 10:31:20] STATUS -> Preu: 84.954 | Caixa: 100000 | SOL: 0
[2026-02-18 10:31:51] STATUS -> Preu: 84.954 | Caixa: 100000 | SOL: 0
[2026-02-18 10:32:22] STATUS -> Preu: 84.954 | Caixa: 100000 | SOL: 0
[2026-02-18 10:32:53] STATUS -> Preu: 84.954 | Caixa: 100000 | SOL: 0
[2026-02-18 10:33:23] STATUS -> Preu: 85.0165 | Caixa: 100000 | SOL: 0
[2026-02-18 10:33:54] STATUS -> Preu: 85.0165 | Caixa: 100000 | SOL: 0
[2026-02-18 10:34:25] STATUS -> Preu: 85.0165 | Caixa: 100000 | SOL: 0
[2026-02-18 10:34:56] STATUS -> Preu: 84.8175 | Caixa: 100000 | SOL: 0
[2026-02-18 10:35:27] STATUS -> Preu: 84.837 | Caixa: 100000 | SOL: 0
[2026-02-18 10:35:58] STATUS -> Preu: 84.837 | Caixa: 100000 | SOL: 0
[2026-02-18 10:36:29] STATUS -> Preu: 84.88 | Caixa: 100000 | SOL: 0
[2026-02-18 10:36:59] STATUS -> Preu: 84.8509 | Caixa: 100000 | SOL: 0
[2026-02-18 10:37:30] STATUS -> Preu: 84.8509 | Caixa: 100000 | SOL: 0
[2026-02-18 10:38:01] STATUS -> Preu: 84.8509 | Caixa: 100000 | SOL: 0
[2026-02-18 10:38:32] STATUS -> Preu: 84.8145 | Caixa: 100000 | SOL: 0
[2026-02-18 10:39:03] STATUS -> Preu: 84.8402 | Caixa: 100000 | SOL: 0
[2026-02-18 10:39:34] STATUS -> Preu: 84.8402 | Caixa: 100000 | SOL: 0
[2026-02-18 10:40:04] STATUS -> Preu: 84.8402 | Caixa: 100000 | SOL: 0
[2026-02-18 10:40:35] STATUS -> Preu: 84.8885 | Caixa: 100000 | SOL: 0
[2026-02-18 10:41:06] STATUS -> Preu: 84.8885 | Caixa: 100000 | SOL: 0
[2026-02-18 10:41:37] STATUS -> Preu: 84.8885 | Caixa: 100000 | SOL: 0
[2026-02-18 10:42:08] STATUS -> Preu: 84.93 | Caixa: 100000 | SOL: 0
