date,equity
2026-06-19,100000.0
2026-06-23,100540.93
2026-06-24,100221.39
2026-06-25,95561.38
2026-06-26,97645.0
2026-06-27,101046.06
2026-06-30,105429.05
2026-07-01,106326.54
2026-07-02,109402.46
2026-07-03,111841.58
2026-07-07,119194.87
2026-07-08,118934.61
2026-07-09,121150.57
2026-07-10,123047.81
2026-07-11,122954.49
2026-07-14,122186.45
2026-07-15,123881.03
2026-07-16,123548.53
2026-07-17,122808.53
2026-07-18,123546.35
2026-07-21,128402.98
2026-07-22,129391.48
2026-07-23,128663.29
2026-07-24,125857.27
2026-07-25,123994.49
2026-07-28,123574.8
2026-07-29,123913.64
2026-07-30,125606.06
2026-07-31,127038.2
2026-08-01,124968.45
2026-08-04,125527.52
2026-08-05,127016.86
2026-08-06,127328.29
2026-08-07,125446.23
2026-08-08,127622.16
2026-08-11,129289.11
2026-08-12,129826.2
2026-08-13,130797.81
2026-08-14,131640.56
2026-08-15,130107.81
2026-08-18,130776.44
2026-08-19,132393.94
2026-08-20,139319.14
2026-08-21,142548.73
2026-08-22,146086.43
2026-08-25,151512.49
2026-08-26,148721.24
2026-08-27,152552.75
2026-08-28,157341.15
2026-08-29,154458.58
2026-09-01,153688.31
2026-09-02,150970.14
